date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:47	121235/121235	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2022:04:27%20GMT	https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin	C:/Benim%20Web%20Sitem/yenialanya/www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin.html	(from )
01:05:47	260/260	---M-Z	200	added ('OK')	text/plain	date:Fri,%2001%20Apr%202022%2022:05:48%20GMT	https://www.yenialanya.com/robots.txt		(from )
01:05:48	199/199	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2001%20Apr%202022%2022:05:48%20GMT	https://static.daktilo.com/sites/496/uploads/2022/01/29/7-16-9-1643448904.jpg	C:/Benim%20Web%20Sitem/yenialanya/static.daktilo.com/sites/496/uploads/2022/01/29/7-16-9-1643448904.1.delayed	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:48	5251/5251	---MCZ	200	added ('OK')	text/css	etag:W/%2217bc-5d45d0a1f363c-gzip%22	https://yenialanya.com/themes/default/assets/smart-app-banner.css	C:/Benim%20Web%20Sitem/yenialanya/yenialanya.com/themes/default/assets/smart-app-banner.css	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Apr%202022%2022:05:49%20GMT	http://file.daktilo.com/themes/enerjik/assets/builds/grid/grid.min.css?m=1643813919	C:/Benim%20Web%20Sitem/yenialanya/file.daktilo.com/themes/enerjik/assets/builds/grid/grid.min.310d8.delayed	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:49	43932/43932	---M-Z	200	added ('OK')	text/css	etag:%22ab9c-5d70a40b805c0-gzip%22	https://file.daktilo.com/themes/enerjik/assets/builds/grid/grid.min.css?m=1643813919	C:/Benim%20Web%20Sitem/yenialanya/file.daktilo.com/themes/enerjik/assets/builds/grid/grid.min10d8.css	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Apr%202022%2022:05:50%20GMT	http://file.daktilo.com/themes/enerjik/assets/font/font.min.css?m=1643095148	C:/Benim%20Web%20Sitem/yenialanya/file.daktilo.com/themes/enerjik/assets/font/font.mine046.css	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:49	923/923	---M-Z	200	added ('OK')	text/css	etag:%2239b-5d662e6af4b3d-gzip%22	https://file.daktilo.com/themes/enerjik/assets/font/font.min.css?m=1643095148	C:/Benim%20Web%20Sitem/yenialanya/file.daktilo.com/themes/enerjik/assets/font/font.mine046.css	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Apr%202022%2022:05:50%20GMT	http://file.daktilo.com/themes/default/assets/libs/photoswipe/merge/photoswipe.css?m=1640870950	C:/Benim%20Web%20Sitem/yenialanya/file.daktilo.com/themes/default/assets/libs/photoswipe/merge/photoswipe6d23.css	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
01:05:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Apr%202022%2022:05:51%20GMT	http://file.daktilo.com/themes/default/assets/builds/comment/comment.min.css?m=1640870950	C:/Benim%20Web%20Sitem/yenialanya/file.daktilo.com/themes/default/assets/builds/comment/comment.min6d23.css	(from https://www.yenialanya.com/haber/9251018/intihar-eden-gencten-aci-not-arabami-satip-borclarimi-odeyin)
